fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019
47033,TN,"Crockett County, TN",45642,13,35.81131,-89.135349,14230
47035,TN,"Cumberland County, TN",49142,18.3,35.9524,-84.994761,60520
47037,TN,"Davidson County, TN",63846,40.3,36.16913,-86.78479,694144
47039,TN,"Decatur County, TN",45215,12.8,35.60342,-88.107384,11663
47041,TN,"DeKalb County, TN",46407,15.7,35.98222,-85.833596,20490
47043,TN,"Dickson County, TN",59126,15.4,36.14553,-87.364155,53948
47045,TN,"Dyer County, TN",48770,16.9,36.0542,-89.398306,37159
47047,TN,"Fayette County, TN",67345,21.7,35.19699,-89.413803,41133
47049,TN,"Fentress County, TN",38608,13.6,36.37608,-84.932703,18523
47051,TN,"Franklin County, TN",54319,20.7,35.15593,-86.099203,42208
47053,TN,"Gibson County, TN",46384,17.8,35.99169,-88.933776,49133
47055,TN,"Giles County, TN",50847,15.1,35.20272,-87.035319,29464
47057,TN,"Grainger County, TN",44929,10.6,36.27746,-83.509493,23320
47059,TN,"Greene County, TN",44975,15.3,36.179,-82.847746,69069
47061,TN,"Grundy County, TN",38447,12.1,35.38727,-85.722188,13427
47063,TN,"Hamblen County, TN",46842,16.1,36.2184,-83.266071,64934
47065,TN,"Hamilton County, TN",57802,31.2,35.15919,-85.202296,367804
47067,TN,"Hancock County, TN",31938,11.5,36.52142,-83.227453,6620
47069,TN,"Hardeman County, TN",40989,11.4,35.21813,-88.989037,25050
47071,TN,"Hardin County, TN",44510,13.9,35.20189,-88.185696,25652
47073,TN,"Hawkins County, TN",46602,14,36.45221,-82.931386,56786
47075,TN,"Haywood County, TN",38950,12.6,35.58669,-89.282536,17304
47077,TN,"Henderson County, TN",46826,13.8,35.654,-88.387674,28117
47079,TN,"Henry County, TN",43159,17.1,36.3254,-88.300384,32345
47081,TN,"Hickman County, TN",46176,11,35.8024,-87.467114,25178
47083,TN,"Houston County, TN",40915,10.6,36.28578,-87.705605,8201
47085,TN,"Humphreys County, TN",52121,13.3,36.04044,-87.790625,18582
47087,TN,"Jackson County, TN",41749,9,36.35424,-85.674182,11786
47089,TN,"Jefferson County, TN",50332,16.4,36.04848,-83.440966,54495
47091,TN,"Johnson County, TN",40219,11.3,36.4532,-81.861237,17788
47093,TN,"Knox County, TN",60316,36.7,35.99273,-83.937721,470313
47095,TN,"Lake County, TN",34059,10.4,36.33391,-89.485537,7016
47097,TN,"Lauderdale County, TN",43545,8.8,35.76295,-89.627732,25633
47099,TN,"Lawrence County, TN",43448,12.5,35.22048,-87.396546,44142
47101,TN,"Lewis County, TN",45874,11.5,35.52324,-87.496983,12268
47103,TN,"Lincoln County, TN",54558,18.8,35.14253,-86.593388,34366
47105,TN,"Loudon County, TN",65226,26.3,35.73745,-84.316204,54068
47107,TN,"McMinn County, TN",49836,15.8,35.42447,-84.619963,53794
47109,TN,"McNairy County, TN",45469,12.7,35.17563,-88.564671,25694
47111,TN,"Macon County, TN",44334,10,36.53784,-86.001231,24602
47113,TN,"Madison County, TN",50401,25.9,35.60606,-88.833424,97984
47115,TN,"Marion County, TN",47675,11.6,35.13342,-85.618399,28907
47117,TN,"Marshall County, TN",58151,14.3,35.46839,-86.765886,34375
47119,TN,"Maury County, TN",66434,21.8,35.6157,-87.077763,96387
47121,TN,"Meigs County, TN",48334,10.5,35.5034,-84.823888,12422
47123,TN,"Monroe County, TN",50506,12.8,35.44767,-84.249786,46545
47125,TN,"Montgomery County, TN",57606,27.2,36.50035,-87.380887,208993
47127,TN,"Moore County, TN",61804,20.7,35.28889,-86.358684,6488
47129,TN,"Morgan County, TN",43952,7.3,36.1387,-84.639262,21403
47131,TN,"Obion County, TN",44061,14.9,36.35818,-89.150175,30069
47133,TN,"Overton County, TN",43636,13.1,36.34485,-85.283076,22241
47135,TN,"Perry County, TN",42939,11.5,35.65979,-87.877027,8076
47137,TN,"Pickett County, TN",41860,8.7,36.55936,-85.075741,5048
47139,TN,"Polk County, TN",45922,11,35.10944,-84.541112,16832
47141,TN,"Putnam County, TN",49083,25.4,36.14081,-85.496928,80245
47143,TN,"Rhea County, TN",47599,15.2,35.60059,-84.949552,33167
47145,TN,"Roane County, TN",50561,19.5,35.84747,-84.523861,53382
47147,TN,"Robertson County, TN",65790,18.6,36.52753,-86.869377,71813
47149,TN,"Rutherford County, TN",69614,32,35.84337,-86.417213,332285
47151,TN,"Scott County, TN",38750,9.4,36.43724,-84.498386,22068
47153,TN,"Sequatchie County, TN",46876,14.6,35.37234,-85.410344,15026
47155,TN,"Sevier County, TN",54476,17.1,35.79128,-83.521955,98250
47157,TN,"Shelby County, TN",52659,31.1,35.18379,-89.895397,937166
47159,TN,"Smith County, TN",54570,12.4,36.25565,-85.942078,20157
47161,TN,"Stewart County, TN",52177,14.9,36.51176,-87.851548,13715
47163,TN,"Sullivan County, TN",51303,22.8,36.51021,-82.299397,158348
47165,TN,"Sumner County, TN",69391,26.9,36.47002,-86.458517,191283
47167,TN,"Tipton County, TN",61436,16.7,35.5003,-89.763708,61599
47169,TN,"Trousdale County, TN",51982,16.8,36.39303,-86.156691,11284
47171,TN,"Unicoi County, TN",44548,14.8,36.10022,-82.418245,17883
47173,TN,"Union County, TN",48106,8.5,36.28414,-83.836088,19972
47175,TN,"Van Buren County, TN",44451,8.5,35.69925,-85.458411,5872
47177,TN,"Warren County, TN",46144,14,35.67828,-85.777363,41277
47179,TN,"Washington County, TN",51879,32.4,36.29567,-82.495037,129375
47181,TN,"Wayne County, TN",45091,11.2,35.24269,-87.819703,16673
47183,TN,"Weakley County, TN",42506,21.5,36.30352,-88.720785,33328
47185,TN,"White County, TN",43583,13.5,35.92706,-85.455766,27345
47187,TN,"Williamson County, TN",119637,59,35.89497,-86.896958,238412
47189,TN,"Wilson County, TN",80080,30.6,36.14848,-86.29021,144657
48001,TX,"Anderson County, TX",48461,11.7,31.84127,-95.661744,57735
48003,TX,"Andrews County, TX",74918,10.4,32.31226,-102.640206,18705
48005,TX,"Angelina County, TX",51750,16.3,31.25195,-94.611056,86715
48007,TX,"Aransas County, TX",53085,21.7,28.10423,-96.977983,23510
48009,TX,"Archer County, TX",63731,23.4,33.61631,-98.687267,8553
48011,TX,"Armstrong County, TX",64424,23.2,34.96418,-101.356636,1887
48013,TX,"Atascosa County, TX",57309,13.3,28.8943,-98.528187,51153
48015,TX,"Austin County, TX",68311,23.5,29.8919,-96.27017,30032
48017,TX,"Bailey County, TX",46174,17.7,34.06752,-102.830345,7000
48019,TX,"Bandera County, TX",59604,23.8,29.75575,-99.260682,23112
48021,TX,"Bastrop County, TX",62627,20.4,30.10313,-97.311859,88723
48023,TX,"Baylor County, TX",41539,19.7,33.61817,-99.197228,3509
48025,TX,"Bee County, TX",44171,10.2,28.41608,-97.742586,32565
48027,TX,"Bell County, TX",54831,24.5,31.04211,-97.481921,362924
48029,TX,"Bexar County, TX",58956,27.6,29.44867,-98.520147,2003554
48031,TX,"Blanco County, TX",68404,27.1,30.26561,-98.399977,11931
48033,TX,"Borden County, TX",71926,35,32.74406,-101.433033,654
48035,TX,"Bosque County, TX",55179,18.5,31.90076,-97.637632,18685
48037,TX,"Bowie County, TX",51207,19.9,33.44605,-94.422375,93245
48039,TX,"Brazoria County, TX",83704,29.7,29.16782,-95.434647,374264
48041,TX,"Brazos County, TX",54471,40.8,30.65673,-96.302389,229211
48043,TX,"Brewster County, TX",48581,39.4,29.809,-103.252458,9203
48045,TX,"Briscoe County, TX",44259,22.7,34.52517,-101.205893,1546
48047,TX,"Brooks County, TX",31410,17.6,27.03499,-98.215276,7093
48049,TX,"Brown County, TX",56040,19.3,31.7641,-98.99847,37864
48051,TX,"Burleson County, TX",61745,17.1,30.49349,-96.622091,18443
48053,TX,"Burnet County, TX",62827,25.1,30.78962,-98.201195,48155
48055,TX,"Caldwell County, TX",55301,14.8,29.84042,-97.631097,43664
48057,TX,"Calhoun County, TX",55909,15,28.44537,-96.5833,21290
48059,TX,"Callahan County, TX",50812,19.1,32.29315,-99.372249,13943
48061,TX,"Cameron County, TX",40893,17.3,26.10292,-97.478958,423163
48063,TX,"Camp County, TX",47091,18.6,32.97458,-94.979085,13094
48065,TX,"Carson County, TX",69760,30.4,35.4055,-101.355356,5926
48067,TX,"Cass County, TX",44529,16.4,33.0837,-94.357579,30026
48069,TX,"Castro County, TX",51736,14.8,34.53362,-102.258786,7530
48071,TX,"Chambers County, TX",93351,21.5,29.70393,-94.668875,43837
48073,TX,"Cherokee County, TX",46576,16.9,31.84386,-95.156504,52646
48075,TX,"Childress County, TX",44095,17.3,34.52934,-100.208336,7306
48077,TX,"Clay County, TX",59983,18.6,33.7859,-98.212918,10471
48079,TX,"Cochran County, TX",43742,8.2,33.60844,-102.830449,2853
48081,TX,"Coke County, TX",48435,17.1,31.87711,-100.635236,3387
48083,TX,"Coleman County, TX",44834,15.6,31.91421,-99.346622,8175
48085,TX,"Collin County, TX",96847,51.7,33.19389,-96.578153,1034730
48087,TX,"Collingsworth County, TX",40314,18.4,34.96336,-100.272135,2920
48089,TX,"Colorado County, TX",55607,18.6,29.59591,-96.508389,21493
48091,TX,"Comal County, TX",87976,35.3,29.80302,-98.255201,156209
48093,TX,"Comanche County, TX",54122,19.8,31.95165,-98.549617,13635
48095,TX,"Concho County, TX",43321,11.9,31.31887,-99.863648,2726
48097,TX,"Cooke County, TX",61186,20.5,33.63917,-97.210372,41257
48099,TX,"Coryell County, TX",53083,15.7,31.39118,-97.798022,75951
48101,TX,"Cottle County, TX",40449,15.3,34.09191,-100.276442,1398
48103,TX,"Crane County, TX",68626,12.4,31.4228,-102.487774,4797
48105,TX,"Crockett County, TX",54165,14.1,30.71753,-101.404211,3464
48107,TX,"Crosby County, TX",38871,12.8,33.60914,-101.29871,5737
48109,TX,"Culberson County, TX",44462,9,31.44591,-104.526945,2171
48111,TX,"Dallam County, TX",55793,13.6,36.28637,-102.59402,7287
48113,TX,"Dallas County, TX",61807,30.7,32.76699,-96.778424,2635516
48115,TX,"Dawson County, TX",48165,12.5,32.74193,-101.947322,12728
48117,TX,"Deaf Smith County, TX",46178,12.2,34.94077,-102.607564,18546
48119,TX,"Delta County, TX",51348,21.3,33.38593,-95.67335,5331
48121,TX,"Denton County, TX",90910,44.5,33.20501,-97.119046,887207
48123,TX,"DeWitt County, TX",52544,12.8,29.08234,-97.361656,20160
48125,TX,"Dickens County, TX",41973,16.7,33.61467,-100.786095,2211
48127,TX,"Dimmit County, TX",40315,14.1,28.42359,-99.765871,10124
48129,TX,"Donley County, TX",41093,19.8,34.95504,-100.815846,3278
48131,TX,"Duval County, TX",37100,9.3,27.68112,-98.497393,11157
48133,TX,"Eastland County, TX",46991,13.3,32.32465,-98.83656,18360
48135,TX,"Ector County, TX",65564,15.6,31.8653,-102.542507,166223
48137,TX,"Edwards County, TX",40424,20.8,29.98588,-100.307373,1932
48139,TX,"Ellis County, TX",78341,23.1,32.34728,-96.798336,184826
48141,TX,"El Paso County, TX",48629,22.8,31.7664,-106.241391,839238
48143,TX,"Erath County, TX",53044,29.7,32.23814,-98.222377,42698
48145,TX,"Falls County, TX",41484,12.9,31.25193,-96.934128,17297
48147,TX,"Fannin County, TX",56123,16.7,33.59116,-96.104988,35514
48149,TX,"Fayette County, TX",62195,18.1,29.87789,-96.921231,25346
48151,TX,"Fisher County, TX",51053,18.2,32.74047,-100.40312,3830
48153,TX,"Floyd County, TX",45022,15.9,34.07373,-101.303274,5712
48155,TX,"Foard County, TX",38615,16.2,33.9804,-99.777427,1155
48157,TX,"Fort Bend County, TX",101361,46.1,29.5266,-95.771015,811688
48159,TX,"Franklin County, TX",50630,23.6,33.17585,-95.219066,10725
48161,TX,"Freestone County, TX",52511,13,31.70165,-96.144237,19717
48163,TX,"Frio County, TX",40360,7.2,28.86933,-99.108788,20306
48165,TX,"Gaines County, TX",67171,12.4,32.74394,-102.631562,21492
48167,TX,"Galveston County, TX",73214,30,29.22871,-94.894865,342139
48169,TX,"Garza County, TX",48975,13.9,33.18379,-101.301134,6229
48171,TX,"Gillespie County, TX",62143,33.8,30.32639,-98.942106,26988
48173,TX,"Glasscock County, TX",93759,23.2,31.86859,-101.528971,1409
48175,TX,"Goliad County, TX",56758,17.6,28.6607,-97.430415,7658
48177,TX,"Gonzales County, TX",48425,12.3,29.4687,-97.477738,20837
48179,TX,"Gray County, TX",52543,13.3,35.40254,-100.812374,21886
48181,TX,"Grayson County, TX",57439,20.5,33.62451,-96.675699,136212
48183,TX,"Gregg County, TX",53137,20.8,32.4864,-94.816276,123945
48185,TX,"Grimes County, TX",51651,14.6,30.54323,-95.988082,28880
48187,TX,"Guadalupe County, TX",78801,27.5,29.58321,-97.949027,166847
48189,TX,"Hale County, TX",49187,16.5,34.06844,-101.822888,33406
48191,TX,"Hall County, TX",35940,14.3,34.45319,-100.576343,2964
48193,TX,"Hamilton County, TX",52505,21.7,31.70698,-98.111794,8461
48195,TX,"Hansford County, TX",58703,14.3,36.27285,-101.35693,5399
48197,TX,"Hardeman County, TX",40057,14.5,34.2899,-99.745697,3933
48199,TX,"Hardin County, TX",62616,15.3,30.32961,-94.393149,57602
48201,TX,"Harris County, TX",61638,31,29.85727,-95.393037,4713325
48203,TX,"Harrison County, TX",55171,19.1,32.54799,-94.374425,66553
48205,TX,"Hartley County, TX",72796,17.2,35.84024,-102.610047,5576
48207,TX,"Haskell County, TX",38613,13.4,33.17597,-99.730773,5658
48209,TX,"Hays County, TX",72890,37.4,30.06123,-98.029267,230191
48211,TX,"Hemphill County, TX",71299,21,35.81624,-100.284807,3819
48213,TX,"Henderson County, TX",49896,18.2,32.21163,-95.853418,82737
48215,TX,"Hidalgo County, TX",41656,18.4,26.39638,-98.18099,868707
48217,TX,"Hill County, TX",53210,17.1,31.98224,-97.129886,36649
48219,TX,"Hockley County, TX",51149,14,33.60593,-102.343398,23021
48221,TX,"Hood County, TX",74534,26.1,32.43015,-97.831677,61643
48223,TX,"Hopkins County, TX",50332,18.3,33.14896,-95.565194,37084
48225,TX,"Houston County, TX",43601,14.1,31.32304,-95.4216,22968
48227,TX,"Howard County, TX",61112,12.3,32.30358,-101.43853,36664
48229,TX,"Hudspeth County, TX",39309,6.9,31.45087,-105.377549,4886
48231,TX,"Hunt County, TX",57513,19.3,33.12344,-96.083807,98594
48233,TX,"Hutchinson County, TX",57936,13.8,35.83705,-101.362746,20938
48235,TX,"Irion County, TX",68630,16.9,31.30342,-100.981304,1536
48237,TX,"Jack County, TX",55358,12.6,33.23228,-98.171902,8935
48239,TX,"Jackson County, TX",55800,16.1,28.9598,-96.58908,14760
48241,TX,"Jasper County, TX",47252,12.4,30.75293,-94.022294,35529
48243,TX,"Jeff Davis County, TX",53362,35.1,30.61709,-104.18786,2274
48245,TX,"Jefferson County, TX",55173,19.6,29.854,-94.149331,251565
48247,TX,"Jim Hogg County, TX",38788,12.3,27.04121,-98.700127,5200
48249,TX,"Jim Wells County, TX",44444,12.7,27.73352,-98.090814,40482
48251,TX,"Johnson County, TX",66538,18.3,32.37951,-97.364823,175817
48253,TX,"Jones County, TX",51094,11.5,32.74371,-99.87443,20083
48255,TX,"Karnes County, TX",54843,14.4,28.90762,-97.860767,15601
