countyid,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest
13157,,,,,1,0,0
13185,,,,,1,0,0
13187,,,,,1,0,0
13215,1,,,,1,0,0
13245,,,2,,2,0,0
13285,,,2,,2,0,0
13311,1,,,,1,0,0
13313,1,,,,1,0,0
15001,,,1,1,2,0,0
15003,7,,3,,12,0,0
15007,2,,,,2,0,0
15009,1,,1,1,3,0,0
16001,3,,14,,18,0,0
16005,1,,1,,2,0,0
16013,3,,,,4,0,0
16017,,,2,,2,0,0
16019,1,,1,,2,0,0
16021,1,,,,1,0,0
16027,,,1,,2,0,0
16049,,,2,,2,0,0
16055,,1,4,,6,0,0
16057,2,,1,,3,0,0
16059,1,,,,1,0,0
16079,1,,1,,2,0,0
16081,1,,1,,2,0,0
16083,2,,,,2,0,0
16085,2,,1,,3,0,0
17001,1,,,,1,0,0
17019,3,,2,,5,0,0
17021,,,1,,1,0,0
17027,,,1,,1,0,0
17031,30,5,38,2,85,0,0
17037,1,,,,2,0,0
17043,8,1,10,,21,0,0
17045,,,1,,1,0,0
17049,,,1,,1,0,0
17055,1,,,,1,0,0
17073,2,,,,2,0,0
17077,,,1,,2,0,0
17083,,,1,,1,0,0
17085,1,,,,1,0,0
17089,4,,1,,9,0,0
17091,2,,,,2,0,0
17093,,,1,,1,0,0
17095,1,,,,2,0,0
17097,3,,12,,17,0,0
17099,1,,1,,2,0,0
17111,,,2,,6,0,0
17113,1,,3,,4,0,0
17115,,,2,,2,0,0
17119,1,,1,,3,0,0
17127,1,,,,1,0,0
17133,1,,1,,2,0,0
17141,,,,,1,0,0
17143,2,,1,,3,0,0
17145,1,,,,1,0,0
17157,,,1,,1,0,0
17161,2,,3,,5,0,0
17163,1,,2,,3,0,0
17167,1,,4,,5,0,0
17177,,,2,,3,0,0
17179,1,,,,1,0,0
17181,,,,,1,0,0
17187,,,1,,1,0,0
17197,5,,7,,12,0,0
17199,,,,,1,0,0
17201,4,,2,,6,0,0
18003,2,,5,,8,0,0
18005,2,,,,2,0,0
18011,1,,,,1,0,0
18019,1,,,,1,0,0
18021,,,,,1,0,0
18029,,,1,,1,0,0
18033,,,,,1,0,0
18035,,,1,,1,0,0
18037,2,,1,,3,0,0
18039,2,,1,,4,0,0
18043,4,,,,4,0,0
18047,,,,,1,0,0
18053,,,1,,1,0,0
18055,,,,,1,0,0
18057,6,,3,,13,0,0
18059,,,2,,2,0,0
18061,1,,,,1,0,0
18063,1,,1,,4,0,0
18067,1,,1,,2,0,0
18073,,,,,1,0,0
18081,1,,2,,4,0,0
18085,,,,,1,0,0
18089,7,,4,1,12,0,0
18091,2,,2,,4,0,0
18093,1,,,,1,0,0
18095,,,1,,2,0,0
18097,14,,12,1,28,0,0
18105,3,,3,1,8,0,0
18107,,,1,,1,0,0
18127,2,,2,,4,0,0
18129,,,1,,1,0,0
18133,1,,,,1,0,0
18137,,1,,,1,0,0
18141,4,,1,,6,0,0
18149,,,1,,1,0,0
18151,1,,,,1,0,0
18157,2,,2,,4,0,0
18161,1,,,,1,0,0
18163,1,,1,,2,0,0
18167,1,,,,1,0,0
18169,,,,,1,0,0
18173,,,1,,1,0,0
18177,1,,1,,2,0,0
18181,,,1,,1,0,0
19013,3,,1,,4,0,0
19015,,,1,,1,0,0
19027,,,1,,1,0,0
19033,,,3,,3,0,0
19043,,,1,,1,0,0
19049,1,,,,1,0,0
19055,,,1,,1,0,0
19057,2,,,,2,0,0
19059,,,1,,1,0,0
19061,2,,1,,4,0,0
19069,1,,,,1,0,0
19079,,,1,,1,0,0
19091,,,1,,1,0,0
19095,1,,,,1,0,0
19097,,,1,,1,0,0
19103,3,,2,,5,0,0
19111,2,,,,2,0,0
19113,5,,3,,8,0,0
19123,,,1,,1,0,0
19125,,,1,,1,0,0
19127,,,1,,1,0,0
19129,,,1,,1,0,0
19131,,,1,,1,0,0
19135,1,,,,1,0,0
19139,,1,1,,2,0,0
19143,,,1,,1,0,0
19145,1,,,,1,0,0
19153,3,,10,,13,0,0
19163,2,,4,,6,0,0
19169,1,,2,,4,0,0
19179,,,1,,1,0,0
19181,,,1,,1,0,0
19183,1,,,,1,0,0
19187,,,1,,1,0,0
19189,,,1,,1,0,0
19191,,,2,,2,0,0
19193,,,2,,2,0,0
19195,1,,,,1,0,0
19197,,,1,,1,0,0
20001,,,,,1,0,0
20009,1,,,,1,0,0
20011,,,1,,1,0,0
20015,,,1,,1,0,0
20031,,,,,1,0,0
20037,,,,,1,0,0
20045,3,,1,,4,0,0
20051,1,,,,1,0,0
20057,1,,,,1,0,0
20063,,,,,1,0,0
20085,,,,,1,0,0
20091,2,,,,4,0,0
20103,1,,,,1,0,0
20111,,,1,,1,0,0
20155,,,1,,1,0,0
20161,1,,1,1,3,0,0
20169,1,,,,1,0,0
20173,6,,4,,10,0,0
20177,1,,2,,4,0,0
20201,,,1,,1,0,0
20209,1,,,,1,0,0
21015,,,1,,1,0,0
21017,,,1,,1,0,0
21021,,,1,,1,0,0
21037,1,,4,,5,0,0
21047,,,1,,1,0,0
21067,3,,7,1,11,0,0
21093,,,1,,1,0,0
21097,,,1,,1,0,0
21101,,,,,1,0,0
21111,5,1,13,,20,0,0
21117,,,2,,2,0,0
21145,1,,1,,2,0,0
21151,,,1,,1,0,0
21167,,,1,,1,0,0
21183,,,,,1,0,0
21195,,,1,,1,0,0
21199,,,2,,2,0,0
21209,,,1,,1,0,0
21227,1,,,,1,0,0
22005,,,,,1,0,0
22009,1,,,,1,0,0
22015,,,1,,2,0,0
22017,,,2,,2,0,0
22019,,,1,,1,0,0
22033,,,1,,3,0,0
22055,,,2,,3,0,0
22061,1,,,,1,0,0
22069,,,,,1,0,0
22071,2,2,9,,13,0,0
22073,,,2,,2,0,0
22079,,,1,,1,0,0
22103,1,,1,,3,0,0
22105,,,1,,1,0,0
22109,1,,,,1,0,0
22125,,,,,1,0,0
23001,1,,2,1,5,0,0
23003,1,,1,,2,0,0
23005,6,,23,2,34,0,0
23007,,,1,,1,0,0
23009,2,,5,,7,0,0
23011,3,1,1,,6,0,0
23013,1,,4,,6,0,0
23015,,,4,,4,0,0
23017,2,,1,,3,0,0
23019,5,,6,,12,0,0
23023,1,,,,1,0,0
23025,1,,1,,3,0,0
23027,1,1,4,,6,0,0
23029,1,,1,,2,0,0
23031,2,,7,,10,0,0
24003,2,,2,,5,0,0
24005,1,1,1,2,9,0,0
24009,1,,2,,4,0,0
24011,1,,1,,2,0,0
24013,1,,1,,3,0,0
24019,,,,,1,0,0
24021,2,,6,1,11,0,0
24025,,,3,,3,0,0
24027,2,,2,,4,0,0
24031,3,1,4,,11,0,0
24033,1,,4,,5,0,0
24035,,,2,,4,0,0
24041,,,1,,2,0,0
24045,1,,1,1,4,0,0
24047,2,,1,,3,0,0
24510,6,2,6,,16,0,0
25001,,,4,,6,0,0
25003,2,,3,,6,0,0
25005,2,,5,,8,0,0
25007,2,,,,2,0,0
25009,5,,9,1,18,0,0
25011,1,,5,1,8,0,0
25013,,1,5,,9,0,0
25015,2,3,9,,15,0,0
25017,6,1,16,3,30,0,0
25019,,,1,,1,0,0
25021,,1,5,1,10,0,0
25023,,,8,,12,0,0
25025,5,2,5,1,14,0,0
25027,5,,12,2,23,0,0
26003,1,,1,,2,0,0
26005,4,,1,,7,0,0
26007,1,,,,1,0,0
26009,1,,,,1,0,0
26015,2,,,,2,0,0
26017,1,,1,,2,0,0
26019,1,,1,,2,0,0
26021,4,1,9,,16,0,0
26025,2,,2,,6,0,0
26029,1,,1,,3,0,0
26031,,,1,,1,0,0
26033,2,,1,,3,0,0
26035,1,,,,1,0,0
26037,1,,,,1,0,0
26039,2,,2,,4,0,0
26041,1,,1,,2,0,0
26043,1,,,,1,0,0
26045,2,,3,,5,0,0
26047,2,,3,,5,0,0
26049,4,,2,,6,0,0
26053,,,1,,1,0,0
26055,5,,5,,11,0,0
26057,1,,1,,2,0,0
26059,1,,,,1,0,0
26061,2,,2,,4,0,0
26065,3,,4,,7,0,0
26067,2,,1,,4,0,0
26069,2,,,,2,0,0
26073,2,,1,,3,0,0
26075,2,,3,,5,0,0
26077,9,,6,1,19,0,0
26081,27,,10,2,40,0,0
26083,,,1,,1,0,0
26087,1,,,,1,0,0
26089,4,,,,4,0,0
26091,2,,1,,3,0,0
26093,4,,1,,6,0,0
26097,1,,,,1,0,0
26099,5,,6,,11,0,0
26101,1,,,,1,0,0
26103,2,,5,,7,0,0
26105,2,,,,2,0,0
26107,2,,1,,3,0,0
26111,1,,,,2,0,0
26115,1,,,,1,0,0
26121,,,3,,4,0,0
26123,2,,,,2,0,0
26125,15,1,13,,31,0,0
26127,1,,,,1,0,0
26129,1,,,,1,0,0
26133,1,,,,1,0,0
26139,5,,13,2,20,0,0
26145,1,,3,,4,0,0
26147,3,,,,3,0,0
26149,2,,,,2,0,0
26151,2,,,,2,0,0
26153,,,1,,1,0,0
26159,6,,3,,11,0,0
26161,11,,7,,20,0,0
26163,11,1,9,2,26,0,0
26165,1,,,,1,0,0
27003,1,,6,1,10,0,0
27005,1,,,,1,0,0
27007,1,,,,1,0,0
27009,1,,,,1,0,0
27013,1,,,,1,0,0
27017,,,1,,1,0,0
27019,,,3,,3,0,0
27023,,,1,,1,0,0
27027,,,1,,1,0,0
27031,1,,,,1,0,0
27035,1,,5,,6,0,0
27037,4,,5,,9,0,0
27039,,1,,,1,0,0
27041,,,1,,1,0,0
27045,,,1,,1,0,0
27047,,,,,1,0,0
27049,1,,,,1,0,0
27051,,,1,,1,0,0
27053,11,1,25,2,43,0,0
27061,,,1,,1,0,0
27067,,,2,,2,0,0
27069,,,1,,1,0,0
27071,1,,,,1,0,0
27075,,,1,,1,0,0
27077,,,,,1,0,0
27079,,,1,,1,0,0
27081,,,1,,1,0,0
27083,,,1,,1,0,0
27097,,,1,,1,0,0
27103,,,1,,1,0,0
27109,2,,2,,5,0,0
27111,1,,1,,3,0,0
27115,,,1,,1,0,0
27123,5,3,13,1,23,0,0
27131,1,,2,,3,0,0
27133,,,1,,1,0,0
27137,6,,3,1,11,0,0
27139,1,,6,,7,0,0
27145,1,,2,1,5,0,0
27163,1,,3,,6,0,0
27169,,,1,,1,0,0
27171,,,3,,3,0,0
28001,,,1,,1,0,0
28017,,,1,,1,0,0
28035,,,1,,2,0,0
28045,,,1,,1,0,0
28047,,,2,,2,0,0
28049,,,1,,1,0,0
28059,1,,1,,2,0,0
28067,,,1,,1,0,0
28075,,1,,,1,0,0
28105,,,1,,1,0,0
28149,1,,,,1,0,0
28151,,,1,,1,0,0
28161,,,1,,1,0,0
29019,2,,1,,3,0,0
29021,,,,,1,0,0
29023,1,,,,1,0,0
29025,,,1,,1,0,0
29031,1,,,,1,0,0
29047,4,,1,,5,0,0
29051,1,,,,1,0,0
29071,2,,,,2,0,0
29073,1,,,,1,0,0
29077,2,,4,,7,0,0
29091,,,1,,1,0,0
29095,4,,12,1,22,0,0
29099,1,,,,1,0,0
29107,1,,,,1,0,0
29127,1,,,,1,0,0
29145,,,,,1,0,0
29157,1,,,,1,0,0
29161,,,2,,2,0,0
29165,1,,1,,2,0,0
29169,,,,,1,0,0
29183,3,,1,,4,0,0
29186,,,1,,1,0,0
29187,1,,,,2,0,0
29189,4,1,4,,10,0,0
29215,,,1,,1,0,0
29510,6,2,5,4,20,0,0
30001,,,1,,1,0,0
30009,,,1,,1,0,0
30013,2,,2,,4,0,0
30017,,,1,,1,0,0
30021,,,1,,1,0,0
30023,,,2,,2,0,0
30027,,,,,1,0,0
30029,2,,6,,9,0,0
30031,5,1,8,,15,0,0
30035,,,1,,1,0,0
30039,,,1,,1,0,0
30041,,,2,,2,0,0
30043,,,,,1,0,0
30047,,,1,,1,0,0
30049,,,4,,5,0,0
30053,2,,,,2,0,0
30059,,,1,,1,0,0
30063,1,,6,1,10,0,0
30067,,1,2,,3,0,0
30071,,,,,1,0,0
30081,1,,3,,4,0,0
30083,1,,,,1,0,0
30085,,,1,,1,0,0
30091,,,1,,1,0,0
30093,,,3,,3,0,0
30105,,,1,,1,0,0
30107,,,1,,1,0,0
30111,3,,4,,7,0,0
31001,,,2,,2,0,0
31013,,,,,1,0,0
31019,1,,,,1,0,0
31025,,,,,1,0,0
31031,,,1,,1,0,0
31035,1,,,,1,0,0
31055,6,,3,,11,0,0
31079,,,1,,1,0,0
31089,1,,,,1,0,0
31109,4,,6,,11,0,0
31111,1,,,,1,0,0
31119,1,,,,1,0,0
31133,1,,,,1,0,0
31137,,,1,,1,0,0
31141,1,,,,1,0,0
31153,1,,1,,2,0,0
31157,,,,,1,0,0
31159,,,1,,1,0,0
31175,,,1,,1,0,0
31179,,,1,,1,0,0
32003,6,,9,,17,0,0
32007,,,,,1,0,0
32023,1,,,,1,0,0
32029,1,,,,1,0,0
32031,9,1,9,,20,0,0
32510,1,,1,,2,0,0
33001,1,,,,1,0,0
33003,4,,1,,6,0,0
33005,1,,4,,6,0,0
33009,2,,5,,7,0,0
33011,3,,4,,11,0,0
33013,1,,8,,9,0,0
33015,4,,9,2,18,0,0
33017,2,,1,,3,0,0
33019,,,1,,2,0,0
34001,,,4,,5,0,0
34003,,1,2,,5,0,0
34005,1,,6,,8,0,0
34007,1,,6,1,8,0,0
34009,1,,4,,6,0,0
34011,,,2,,2,0,0
34013,1,1,1,,6,0,0
34015,,,6,,7,0,0
34017,,,1,,2,0,0
34019,2,,1,,4,0,0
34021,1,,2,,3,0,0
34023,2,,1,,4,0,0
34025,1,,8,,12,0,0
34027,1,,2,,4,0,0
34029,1,,4,,5,0,0
34035,,,1,,2,0,0
34037,1,,,,2,0,0
34039,1,,3,,4,0,0
34041,,,2,,3,0,0
35001,13,,15,1,29,0,0
35006,,,1,,1,0,0
35007,2,,1,,3,0,0
35013,3,1,,,5,0,0
35015,2,,1,,3,0,0
35017,1,,,,1,0,0
35021,,,1,,1,0,0
35025,1,,,,1,0,0
35028,,,1,,2,0,0
35041,1,,,,1,0,0
35043,5,,,,6,0,0
35045,1,,,,2,0,0
35049,6,,1,1,9,0,0
35051,,,1,,1,0,0
35055,3,,,,3,0,0
36001,1,,5,,6,0,0
36003,,,,,1,0,0
36005,,1,3,,4,0,0
36007,,,2,,2,0,0
36009,,,1,,1,0,0
36011,1,,3,,5,0,0
36013,1,,1,1,5,0,0
36015,,,2,,2,0,0
36017,1,,,,1,0,0
36019,2,,,,2,0,0
36021,,,2,,2,0,0
36023,,,1,,1,0,0
36027,4,,6,,11,0,0
36029,11,1,7,,20,0,0
36031,4,,2,,9,0,0
36033,1,,1,,4,0,0
36037,1,,,,1,0,0
36039,1,,3,,4,0,0
36043,,,1,,1,0,0
36045,2,,2,,5,0,0
36047,6,2,7,2,19,0,0
36049,,,,,1,0,0
36053,1,,5,,6,0,0
36055,7,1,7,1,19,0,0
36059,,,5,,7,0,0
36061,,3,,,5,0,0
36063,3,,,,3,0,0
36065,1,,2,1,4,0,0
36067,4,,8,,18,0,0
36069,2,,8,,11,0,0
36071,1,,7,,10,0,0
36073,,,,,1,0,0
