fips_txt,breweriesTOTALper10000,brewery_per_1Mpeople,median_HHI_2019,bach_deg_pct_14to18,population2019,perc_hispanic,perc_age_25_39,pop_density_per_mile,change_in_pop_decade,perc_female,
16081,1.647175095,164.7175095,73637,41.5,12142,0.1669,0.209,27.01488021,0.1624,0.475,
31035,1.612123166,161.2123166,63829,18.4,6203,0.0896,0.1691,10.83892928,-0.0547,0.491,
36123,1.605587444,160.5587444,60612,24.4,24913,0.0228,0.1572,73.67593001,-0.0175,0.513,
51790,1.60436387,160.436387,54296,34,24932,0.0331,0.2036,1248.1602,0.0476,0.54,
8047,1.601794009,160.1794009,74806,38.7,6243,0.0706,0.1688,41.64887655,0.1285,0.474,
50015,1.577162684,157.7162684,60555,37.3,25362,0.0185,0.1904,55.27935013,0.035,0.5,
8119,1.575547503,157.5547503,70599,34,25388,0.0709,0.1488,45.57539202,0.0803,0.493,
51640,1.575547503,157.5547503,37229,12.4,6347,0.1629,0.1676,770.2669903,-0.1095,0.533,
16079,1.552553951,155.2553951,39239,11.6,12882,0.0359,0.1612,4.898722841,0.0091,0.497,
23027,1.510764195,151.0764195,51073,29.6,39715,0.0165,0.1641,54.41022142,0.0234,0.506,
23013,1.508599014,150.8599014,55910,31,39772,0.0157,0.161,108.9243949,0.0009,0.504,
26047,1.496333982,149.6333982,59456,33.7,33415,0.0182,0.1671,71.47685318,0.0216,0.506,
41057,1.479508803,147.9508803,52298,21,27036,0.1048,0.1643,24.5206697,0.0661,0.495,
8015,1.473766948,147.3766948,60331,33.5,20356,0.0996,0.1914,20.08677693,0.1251,0.47,
36099,1.469896519,146.9896519,51064,20.9,34016,0.037,0.1962,105.083332,-0.0363,0.475,
8109,1.465416178,146.5416178,37004,22.9,6824,0.3642,0.1306,2.153683496,0.1049,0.503,
51683,1.460387003,146.0387003,84405,29.7,41085,0.3811,0.2224,4157.979962,0.0794,0.497,
37175,1.454122437,145.4122437,55628,31.5,34385,0.034,0.1436,90.83872263,0.0377,0.518,
26159,1.453545992,145.3545992,58733,20.9,75677,0.1167,0.172,124.5765251,-0.0077,0.503,
56009,1.446968601,144.6968601,72481,17.2,13822,0.0841,0.1849,3.248502955,-0.0008,0.489,
2130,1.438745414,143.8745414,75706,24.5,13901,0.0558,0.2124,2.86122179,0.0305,0.489,
8007,1.425618362,142.5618362,57604,38.9,14029,0.1843,0.1484,10.39050493,0.1386,0.496,
53007,1.424870466,142.4870466,59838,26.7,77200,0.2824,0.1888,26.43360355,0.0615,0.499,
18161,1.417635384,141.7635384,53866,16.9,7054,0.018,0.173,43.75279115,-0.0655,0.506,
37173,1.401443487,140.1443487,46075,16,14271,0.0576,0.1844,27.02861385,0.0203,0.521,
