median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList,BestList
88341,60.8,449.1270004,9.70%,49.60%,14.00%,122.6256606,2.4,20.50%,FALSE,FALSE
106892,55.5,2133.105285,20.69%,50.30%,12.70%,70.9572128,2.4,23.02%,FALSE,FALSE
60331,33.5,20.08677693,12.51%,47.00%,10.00%,147.3766948,2.4,19.14%,FALSE,FALSE
79900,46.5,24.54285765,6.31%,47.10%,7.60%,309.2783505,2.5,18.08%,FALSE,FALSE
51525,21.2,27.28602075,0.67%,49.70%,15.30%,96.27109942,3.3,15.32%,FALSE,FALSE
75456,47.9,4753.013072,17.47%,49.90%,29.30%,99.00840334,2.7,32.79%,FALSE,FALSE
123697,57.9,417.9170911,18.71%,50.00%,9.10%,31.32528748,2.4,18.69%,FALSE,FALSE
89268,48.1,32.72544864,5.31%,47.20%,29.70%,54.41979429,2.2,23.72%,FALSE,FALSE
72675,37.9,338.7260961,13.62%,49.50%,17.70%,36.09091023,3.3,23.18%,FALSE,FALSE
73788,30,20.37649407,6.11%,48.90%,29.30%,49.94921829,2.7,21.15%,FALSE,FALSE
71029,37.8,8.521770214,5.66%,46.50%,9.60%,190.6698869,2.1,20.80%,FALSE,FALSE
60408,55.3,5.391003674,12.24%,45.90%,9.60%,171.8016264,2.1,21.79%,FALSE,FALSE
89696,44.1,762.725593,8.29%,50.10%,15.60%,51.46848156,2.5,22.72%,FALSE,FALSE
77829,43.9,33.22600968,8.69%,49.60%,12.80%,106.7216876,2.5,20.60%,FALSE,FALSE
75332,46.3,137.4802485,16.05%,50.20%,11.90%,89.66122068,2.4,21.49%,FALSE,FALSE
60249,27.4,46.32358198,4.86%,50.50%,14.80%,38.90798262,3.4,19.70%,FALSE,FALSE
52641,28.6,12.90103556,2.47%,50.70%,12.60%,190.9636023,4.2,16.95%,FALSE,FALSE
50707,23.9,19.08247218,3.47%,50.80%,20.90%,93.54974508,3.1,16.34%,FALSE,FALSE
72836,48.6,9.143397348,10.42%,49.30%,6.50%,807.7544426,2.9,13.83%,FALSE,FALSE
51075,22,70.58535588,5.56%,50.70%,43.20%,23.74958438,4.1,19.54%,FALSE,FALSE
87691,50.4,10.85424123,8.30%,48.10%,6.90%,117.0138076,2.2,22.01%,FALSE,FALSE
86570,51,50.97491937,9.73%,45.30%,14.60%,225.7263552,1.8,28.15%,FALSE,FALSE
70599,34,45.57539202,8.03%,49.30%,7.10%,157.5547503,3.1,14.88%,FALSE,FALSE
78160,26.7,81.38265135,22.09%,49.40%,30.00%,40.06262096,2.5,22.94%,FALSE,FALSE
96966,47.4,1509.596889,2.81%,51.30%,20.50%,16.96115472,3.6,17.69%,FALSE,FALSE
75336,37.8,1213.064398,-0.26%,51.40%,18.80%,21.30713677,3.9,19.93%,FALSE,FALSE
81015,35.1,195.8948901,-5.32%,50.50%,7.10%,38.8170773,3.5,16.14%,FALSE,FALSE
81721,41.5,439.8471707,-1.99%,51.30%,6.60%,30.78135389,3.2,17.42%,FALSE,FALSE
69687,34.9,1413.97604,-0.90%,51.80%,19.10%,22.22853981,3.9,19.63%,FALSE,FALSE
75226,33.3,398.8791929,-3.34%,49.80%,11.10%,37.70653756,3.6,19.08%,FALSE,FALSE
63309,24.1,227.6851689,-1.41%,50.40%,12.40%,34.25185388,4,19.04%,FALSE,FALSE
58804,23.6,308.414324,10.22%,51.80%,7.40%,22.12560707,4.2,19.80%,FALSE,FALSE
76076,35.9,1310.746776,3.63%,51.60%,10.40%,16.10729607,3.7,21.05%,FALSE,FALSE
64839,26.5,250.2192657,15.83%,51.60%,9.30%,46.9633899,3.8,14.95%,FALSE,FALSE
90395,57.6,11560.5589,14.74%,52.60%,11.30%,24.08788394,5.5,32.36%,FALSE,FALSE
49880,42.5,307.4706864,8.07%,51.80%,10.50%,22.30126783,2.9,21.58%,FALSE,FALSE
58376,22.8,230.3420488,3.35%,50.40%,6.70%,17.1718039,3.9,19.85%,FALSE,FALSE
57582,29.3,592.6585958,9.73%,51.10%,10.90%,19.93547551,3.2,16.91%,FALSE,FALSE
61429,31.9,1614.152928,10.48%,51.30%,31.10%,7.169273722,3,20.28%,FALSE,FALSE
76415,36.2,192.6124092,16.47%,50.70%,28.60%,10.39225569,3.1,14.35%,FALSE,FALSE
58339,29.2,1256.579707,9.76%,51.50%,10.50%,20.88216715,3.3,23.55%,FALSE,FALSE
52822,26.4,484.8970464,6.50%,50.60%,5.90%,15.70766157,3.2,20.84%,FALSE,FALSE
61133,32.7,1442.803177,16.49%,51.10%,29.70%,11.54916411,3.1,22.54%,FALSE,FALSE
