median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
89696,44.1,762.725593,0.08,0.50,0.16,51.46848156,2.5,0.23,FALSE
77829,43.9,33.22600968,0.09,0.50,0.13,106.7216876,2.5,0.21,FALSE
75332,46.3,137.4802485,0.16,0.50,0.12,89.66122068,2.4,0.21,FALSE
60249,27.4,46.32358198,0.05,0.51,0.15,38.90798262,3.4,0.2,FALSE
52641,28.6,12.90103556,0.02,0.51,0.13,190.9636023,4.2,0.17,FALSE
50707,23.9,19.08247218,0.03,0.51,0.21,93.54974508,3.1,0.16,FALSE
72836,48.6,9.143397348,0.10,0.49,0.07,807.7544426,2.9,0.14,FALSE
51075,22,70.58535588,0.06,0.51,0.43,23.74958438,4.1,0.2,FALSE
87691,50.4,10.85424123,0.08,0.48,0.07,117.0138076,2.2,0.22,FALSE
86570,51,50.97491937,0.10,0.45,0.15,225.7263552,1.8,0.28,FALSE
70599,34,45.57539202,0.08,0.49,0.07,157.5547503,3.1,0.15,FALSE
78160,26.7,81.38265135,0.22,0.49,0.30,40.06262096,2.5,0.23,FALSE
96966,47.4,1509.596889,0.03,0.51,0.21,16.96115472,3.6,0.18,FALSE
75336,37.8,1213.064398,0.00,0.51,0.19,21.30713677,3.9,0.2,FALSE
81015,35.1,195.8948901,-0.05,0.51,0.07,38.8170773,3.5,0.16,FALSE
81721,41.5,439.8471707,-0.02,0.51,0.07,30.78135389,3.2,0.17,FALSE
69687,34.9,1413.97604,-0.01,0.52,0.19,22.22853981,3.9,0.2,FALSE
75226,33.3,398.8791929,-0.03,0.50,0.11,37.70653756,3.6,0.19,FALSE
63309,24.1,227.6851689,-0.01,0.50,0.12,34.25185388,4,0.19,FALSE
58804,23.6,308.414324,0.10,0.52,0.07,22.12560707,4.2,0.2,FALSE
76076,35.9,1310.746776,0.04,0.52,0.10,16.10729607,3.7,0.21,FALSE
64839,26.5,250.2192657,0.16,0.52,0.09,46.9633899,3.8,0.15,FALSE
90395,57.6,11560.5589,0.15,0.53,0.11,24.08788394,5.5,0.32,FALSE
49880,42.5,307.4706864,0.08,0.52,0.11,22.30126783,2.9,0.22,FALSE
58376,22.8,230.3420488,0.03,0.50,0.07,17.1718039,3.9,0.2,FALSE
57582,29.3,592.6585958,0.10,0.51,0.11,19.93547551,3.2,0.17,FALSE
61429,31.9,1614.152928,0.10,0.51,0.31,7.169273722,3,0.2,FALSE
76415,36.2,192.6124092,0.16,0.51,0.29,10.39225569,3.1,0.14,FALSE
58339,29.2,1256.579707,0.10,0.52,0.11,20.88216715,3.3,0.24,FALSE
52822,26.4,484.8970464,0.07,0.51,0.06,15.70766157,3.2,0.21,FALSE
