BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,56776,56776,96.63644759,0.0515,0.5,0.656,9.6,0.2103,6.435075451
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,84209,84209,45.22758531,0.12,0.499,0.608,5,0.2091,31.84307731
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,52307,52307,158.3916838,0.0702,0.519,0.04,2.7,0.2105,14.32972702
FALSE,85419,85419,11.83375889,0.0219,0.491,0.07,4.4,0.2276,93.82623381
FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,67398,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,11.46744278
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447
FALSE,67398,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,11.46744278
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447
FALSE,68458,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,10.49664894
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535
FALSE,70951,70951,217.3079633,0.0891,0.515,0.319,4.1,0.1989,40.81632653
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991
FALSE,53613,53613,6.732385211,-0.1414,0.378,0.193,4.6,0.2642,65.41719818
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447
FALSE,135234,135234,1709.543541,0.0628,0.505,0.24,2,0.2263,15.65408643
TRUE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,85704,85704,544.7335917,0.0766,0.502,0.273,3.7,0.216,22.33923015
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
TRUE,85770,85770,613.7273401,0.0396,0.505,0.34,4.7,0.1802,43.92177532
FALSE,56926,56926,167.6909213,0.0687,0.501,0.538,7.2,0.2223,13.01169752
FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881
FALSE,86202,86202,112.9134724,0.0611,0.501,0.132,3.5,0.1602,88.15461282
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991
FALSE,68458,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,10.49664894
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,91446,91446,459.0043149,0.0268,0.505,0.432,3.6,0.199,17.73037071
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577
FALSE,54242,54242,28.94060798,0.1024,0.511,0.147,4.4,0.1361,29.77469066
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,123697,123697,417.9170911,0.1871,0.5,0.091,2.4,0.1869,31.32528748
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156
FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,157.5547503
FALSE,75341,75341,443.1290803,0.1465,0.494,0.408,2.9,0.2441,19.32662184
FALSE,43452,43452,3.03938758,-0.069,0.478,0.404,3.9,0.172,68.93699159
FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,3.4,0.2147,28.06759698
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334
FALSE,88341,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,122.6256606
FALSE,74806,74806,41.64887655,0.1285,0.474,0.071,2.3,0.1688,160.1794009
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
