,0,1,2,3,4,5,6,7,8,9
70,76509,132.3116691,0.0438,0.491,0.594,6.2,0.2116,9.215294624,0.245,0
71,90230,184.0606551,0.0091,0.502,0.346,2.8,0.1876,87.11813219,0.349,1
72,69550,104.1531805,0.0099,0.509,0.098,3.3,0.1541,30.07368052,0.366,1
73,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991,0.399,0
74,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383,0.386,1
75,72905,342.8228483,0.1137,0.501,0.5,4.2,0.2076,13.3573712,0.218,0
76,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037,0.304,1
77,84209,45.22758531,0.12,0.499,0.608,5,0.2091,31.84307731,0.197,0
78,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,11.46744278,0.203,0
79,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,0.381,1
80,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,0.571,1
81,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,10.49664894,0.184,0
82,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376,0.346,1
83,135234,1709.543541,0.0628,0.505,0.24,2,0.2263,15.65408643,0.499,1
84,74530,163.2486742,0.0506,0.5,0.46,3.7,0.1956,49.27222681,0.338,1
85,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,0.513,1
86,85770,613.7273401,0.0396,0.505,0.34,4.7,0.1802,43.92177532,0.4,1
87,61464,47.69823187,0.0159,0.509,0.105,4.7,0.1908,16.65926255,0.222,0
88,45954,6.935295267,-0.0313,0.503,0.132,6.5,0.16,91.8716553,0.225,0
89,85704,544.7335917,0.0766,0.502,0.273,3.7,0.216,22.33923015,0.262,0
90,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881,0.349,1
91,62761,368.3770764,0.0658,0.504,0.476,6,0.2134,5.448007845,0.169,0
92,60910,160.9717634,0.023,0.502,0.319,7.3,0.2051,10.31236143,0.177,0
93,51672,22.06454942,0.0249,0.503,0.258,5.5,0.1826,15.36475939,0.155,0
94,56776,96.63644759,0.0515,0.5,0.656,9.6,0.2103,6.435075451,0.143,0
95,91446,459.0043149,0.0268,0.505,0.432,3.6,0.199,17.73037071,0.331,0
96,70951,217.3079633,0.0891,0.515,0.319,4.1,0.1989,40.81632653,0.416,1
97,75341,443.1290803,0.1465,0.494,0.408,2.9,0.2441,19.32662184,0.236,0
98,38213,22.46337403,0.0485,0.501,0.476,3.6,0.2035,184.808723,0.261,1
99,82364,822.6913921,0.1288,0.504,0.198,2.7,0.2349,30.46040908,0.422,1
100,57604,10.39050493,0.1386,0.496,0.184,3.2,0.1484,142.5618362,0.389,0
101,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,122.6256606,0.608,1
102,106892,2133.105285,0.2069,0.503,0.127,2.4,0.2302,70.9572128,0.555,1
103,60331,20.08677693,0.1251,0.47,0.1,2.4,0.1914,147.3766948,0.335,0
104,79900,24.54285765,0.0631,0.471,0.076,2.5,0.1808,309.2783505,0.465,0
105,51525,27.28602075,0.0067,0.497,0.153,3.3,0.1532,96.27109942,0.212,0
106,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,0.479,1
