Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
73,FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,159,3.2,0.2373
74,TRUE,85770,85770,613.7273401,0.0396,0.505,0.34,12,4.7,0.1802
75,FALSE,56926,56926,167.6909213,0.0687,0.501,0.538,13,7.2,0.2223
76,FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,32,2.7,0.1931
77,FALSE,86202,86202,112.9134724,0.0611,0.501,0.132,17,3.5,0.1602
78,FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,9,2.3,0.1411
79,FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,159,3.2,0.2373
80,FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,37,2.2,0.3256
81,FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,13,3.1,0.1762
82,FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,55,2.8,0.2112
83,FALSE,68458,68458,547.786925,0.1008,0.501,0.42,8,5.9,0.2098
84,FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,159,3.2,0.2373
85,FALSE,91446,91446,459.0043149,0.0268,0.505,0.432,15,3.6,0.199
86,FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,31,3.7,0.2308
87,FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,24,2.9,0.1741
88,FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,31,3.7,0.2308
89,FALSE,72721,72721,2473.975846,0.022,0.507,0.486,123,4.4,0.2348
90,FALSE,54242,54242,28.94060798,0.1024,0.511,0.147,7,4.4,0.1361
91,FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,39,2.9,0.2492
92,FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,37,2.2,0.3256
93,FALSE,123697,123697,417.9170911,0.1871,0.5,0.091,11,2.4,0.1869
94,FALSE,89696,89696,762.725593,0.0829,0.501,0.156,30,2.5,0.2272
95,FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,4,3.1,0.1488
96,FALSE,75341,75341,443.1290803,0.1465,0.494,0.408,10,2.9,0.2441
97,FALSE,43452,43452,3.03938758,-0.069,0.478,0.404,1,3.9,0.172
98,FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,11,3.4,0.2147
99,FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,26,3.3,0.2318
100,FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,72,2.7,0.3279
101,FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,72,2.7,0.3279
102,FALSE,88341,88341,449.1270004,0.097,0.496,0.14,40,2.4,0.205
103,FALSE,74806,74806,41.64887655,0.1285,0.474,0.071,1,2.3,0.1688
104,FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,32,2.4,0.2149
105,FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,159,3.2,0.2373
106,FALSE,73788,73788,20.37649407,0.0611,0.489,0.293,3,2.7,0.2115
107,FALSE,50524,50524,1.878767859,0.0398,0.449,0.125,2,3,0.169
